x1,y1,x2,y2,name
144.1484,-35.14482,144.1484,-35.14482,Drummers community tent
144.14565,-35.14844,144.14565,-35.14844,Wamba Wamba site
144.1457,-35.15089,144.1457,-35.15089,Permaculture
144.1445,-35.15024,144.1445,-35.15024,Permaculture
144.14049,-35.14842,144.14049,-35.14842,fire drums
144.14603,-35.14732,144.14603,-35.14732,Hub kitchen
144.14586,-35.14732,144.14586,-35.14732,First Aid
144.14973,-35.14847,144.14973,-35.14847,Wamba Wamba elders camp
144.14944,-35.15015,144.14944,-35.15015,Rainbow cooking
144.14929,-35.14996,144.14929,-35.14996,Rainbow entrance
144.150026,-35.152099,,,Poly Space
144.14917,-35.15278,144.14917,-35.15278,Listen to the Grass Grow
